t,x1,y1,z1.x2,y2,z2,dt
0,0,0,2,5,5,2,1
0,1,0.5,2,5.5,6,2,1
1,2,1,2,6,7,2,1
2,3,1.5,2,6.5,8,2,1
3,4,2,2,7,9,2,1
4,5,2.5,2,7.5,10,2,1
5,6,3,2,8,11,2,1
6,7,3.5,2,8.5,12,2,1
7,8,4,2,9,13,2,1
8,9,4.5,2,9.5,14,2,1
9,10,5,2,10,15,2,1
10,11,5.5,2,10.5,16,2,1
11,12,6,2,11,17,2,1
12,13,6.5,2,11.5,18,2,1
13,14,7,2,12,19,2,1
14,15,7.5,2,12.5,20,2,1
15,16,8,2,13,21,2,1
16,17,8.5,2,13.5,22,2,1
17,18,9,2,14,23,2,1
18,19,9.5,2,14.5,24,2,1
19,20,10,2,15,25,2,1
20,21,10.5,2,15.5,26,2,1
21,22,11,2,16,27,2,1
22,23,11.5,2,16.5,28,2,1
23,24,12,2,17,29,2,1
24,25,12.5,2,17.5,30,2,1
25,26,13,2,18,31,2,1
26,27,13.5,2,18.5,32,2,1
27,28,14,2,19,33,2,1
28,29,14.5,2,19.5,34,2,1
29,30,15,2,20,35,2,1
30,31,15.5,2,20.5,36,2,1
31,32,16,2,21,37,2,1
32,33,16.5,2,21.5,38,2,1
33,34,17,2,22,39,2,1
34,35,17.5,2,22.5,40,2,1
35,36,18,2,23,41,2,1
36,37,18.5,2,23.5,42,2,1
37,38,19,2,24,43,2,1
38,39,19.5,2,24.5,44,2,1
39,40,20,2,25,45,2,1
40,41,20.5,2,25.5,46,2,1
41,42,21,2,26,47,2,1
42,43,21.5,2,26.5,48,2,1
43,44,22,2,27,49,2,1
44,45,22.5,2,27.5,50,2,1
45,46,23,2,28,51,2,1
46,47,23.5,2,28.5,52,2,1
47,48,24,2,29,53,2,1
48,49,24.5,2,29.5,54,2,1
49,50,25,2,30,55,2,1
50,51,25.5,2,30.5,56,2,1
51,52,26,2,31,57,2,1
52,53,26.5,2,31.5,58,2,1
53,54,27,2,32,59,2,1
54,55,27.5,2,32.5,60,2,1
55,56,28,2,33,61,2,1
56,57,28.5,2,33.5,62,2,1
57,58,29,2,34,63,2,1
58,59,29.5,2,34.5,64,2,1
59,60,30,2,35,65,2,1
60,61,30.5,2,35.5,66,2,1
